"height","weight","age","playedPositions","playedPositionsShort","name","firstName","lastName","playerId"
184,79,20,"",Defender,Otávio,Otávio,Ataíde da Silva,402207
188,91,22,-DC-,D(C),Lucas Halter,Lucas,Halter,373938
0,0,21,"",Defender,Marcio Silva,Marcio Gleyson,Leite da Silva,410307
0,0,23,-DC-,D(C),Henrique Vermudt,Henrique,Vermudt,397503
190,79,25,"",Defender,Helerson,Helerson Mateus,do Nascimento,362745
188,75,24,"",Defender,Walce,Walce,da Silva Costa Filho,373963
194,98,34,-DC-,D(C),Dedé,Anderson,Vital da Silva,86607
186,84,24,-DC-,D(C),Roberto,Roberto,Pinheiro da Rosa,373446
185,84,36,-DC-DR-,D(CR),Henrique,Henrique Adriano,Buss,40765
181,75,39,-DC-,D(C),Betão,Ebert Willian,Amâncio,17142
186,82,33,-DC-,D(C),Oswaldo Henríquez,Oswaldo,Henríquez,317655
191,79,29,-DC-,D(C),Antônio Carlos,Antônio Carlos,Cunha Capocasali Junior,114164
190,82,32,-DC-,D(C),Alan Costa,Alan Henrique,Costa,130507
189,86,37,-DC-,D(C),Gum,Wellington,Pereira Rodrigues,75473
186,78,38,-DC-,D(C),Tiago Alves,Tiago,dos Santos Alves,102002
185,80,37,-DC-,D(C),Mauricio Ramos,Mauricio Donizete,Ramos Junior,40751
192,80,43,-DC-,D(C),Leonardo Silva,Leonardo Fabiano,Silva e Silva,20791
187,82,41,-DC-,D(C),Edu Dracena,Eduardo Luís,Abonizio de Souza,4338
183,77,30,-DC-,D(C),Valdo,Andrevaldo,de Jesus Santos,355665
190,84,32,-DC-,D(C),Douglas,Douglas,Silva Bacelar,125789
185,80,30,-DC-,D(C),Yago Fernando,Yago Fernando,da Silva,102047
184,81,35,-DC-,D(C),Léo,Leonardo Renan,Simões de Lacerda,40669
188,80,39,-DC-,D(C),Paulo André,Paulo André,Cren Benini,17204
188,85,26,-DC-,D(C),Frazan,Wesley,Frazan Bernardo,337645
191,89,36,-DC-,D(C),Joel Carli,Joel,Carli,125402
194,80,40,-DC-,D(C),Marquinhos Silva,Marcos Roberto,da Silva Barbosa,146680
187,80,33,-DC-,D(C),Luciano Castán,Luciano,Castán da Silva,86677
182,77,23,-DC-,D(C),Cacá,Carlos,de Menezes Júnior,361471
186,75,31,-DC-,D(C),Gerson Guimarães Ferreira Junior,Gerson,Guimarães Ferreira Junior,111361
183,73,38,-DC-,D(C),Rafael Pereira,Rafael,Pereira dos Santos,245601
187,89,33,-DC-,D(C),Ronaldo Alves,Ronaldo,Luiz Alves,78210
187,80,26,-DC-,D(C),Lucão,Lucas,Cavalcante Silva Afonso,132835
0,0,25,-DC-,D(C),Eduardo Kunde,Eduardo,Kunde,373438
187,80,36,"",Defender,Leandro Souza,Leandro,Rosa Souza,373509
191,82,27,"",Defender,Lucas Dias,Lucas Vinicius,Dias Costa,373973
179,70,24,"",Defender,Matheus Dantas,Matheus,de Jesus Dantas,358071
183,84,34,-DC-,D(C),Bruno Silva Barbosa,Bruno,da Silva Barbosa,355711
184,69,25,"",Defender,Ze Marcos,José Marcos,Alves Luis,383601
191,81,25,"",Defender,Hiago,Hiago,Corrêa Silveira Cena,342607
193,93,25,-DC-,D(C),Zac McGraw,Zac,McGraw,396240
188,84,28,-DC-,D(C),Jakob Glesnes,Jakob,Glesnes,320980
187,92,30,-DC-,D(C),Yéimar Gómez,Yéimar,Gómez,247429
187,77,25,-DC-,D(C),Juan José Purata,Juan José,Sánchez Purata,441836
183,72,28,-DC-,D(C),Jesús Murillo,Jesús,Murillo,403927
