ID,tackleWonTotal,tackleTotalAttempted,challengeLost
691,8.0,21.0,13.0
692,3.0,3.0,0.0
693,7.0,10.0,3.0
694,6.0,11.0,5.0
695,12.0,22.0,10.0
696,15.0,20.0,5.0
697,0.0,0.0,0.0
698,5.0,8.0,3.0
699,7.0,8.0,1.0
700,6.0,9.0,3.0
701,2.0,3.0,1.0
702,2.0,8.0,6.0
703,11.0,21.0,10.0
704,5.0,14.0,9.0
705,9.0,15.0,6.0
706,6.0,8.0,2.0
707,0.0,1.0,1.0
708,4.0,9.0,5.0
709,3.0,4.0,1.0
710,8.0,12.0,4.0
711,20.0,37.0,17.0
712,0.0,0.0,0.0
713,7.0,14.0,7.0
714,13.0,20.0,7.0
715,2.0,3.0,1.0
716,7.0,18.0,11.0
717,2.0,11.0,9.0
718,8.0,18.0,10.0
719,0.0,0.0,0.0
720,0.0,3.0,3.0
721,10.0,25.0,15.0
722,22.0,47.0,25.0
723,4.0,8.0,4.0
724,6.0,9.0,3.0
725,8.0,24.0,16.0
726,6.0,13.0,7.0
727,2.0,2.0,0.0
728,6.0,13.0,7.0
729,9.0,16.0,7.0
730,0.0,0.0,0.0
731,3.0,5.0,2.0
732,8.0,20.0,12.0
733,6.0,10.0,4.0
734,5.0,5.0,0.0
735,2.0,5.0,3.0
736,22.0,43.0,21.0
737,3.0,4.0,1.0
738,2.0,4.0,2.0
739,3.0,4.0,1.0
740,1.0,2.0,1.0
741,11.0,20.0,9.0
742,1.0,4.0,3.0
743,4.0,7.0,3.0
744,2.0,2.0,0.0
745,0.0,0.0,0.0
746,1.0,1.0,0.0
747,2.0,3.0,1.0
748,2.0,2.0,0.0
749,14.0,28.0,14.0
750,3.0,9.0,6.0
751,2.0,3.0,1.0
752,2.0,4.0,2.0
753,1.0,1.0,0.0
754,3.0,10.0,7.0
755,1.0,4.0,3.0
756,0.0,1.0,1.0
757,1.0,1.0,0.0
758,0.0,0.0,0.0
759,1.0,2.0,1.0
760,1.0,1.0,0.0
761,2.0,4.0,2.0
762,4.0,6.0,2.0
763,1.0,2.0,1.0
764,0.0,0.0,0.0
765,0.0,0.0,0.0
766,0.0,1.0,1.0
767,1.0,2.0,1.0
768,1.0,1.0,0.0
769,1.0,2.0,1.0
770,1.0,2.0,1.0
771,1.0,1.0,0.0
772,0.0,1.0,1.0
773,0.0,1.0,1.0
774,1.0,1.0,0.0
775,2.0,4.0,2.0
776,0.0,1.0,1.0
777,0.0,1.0,1.0
778,0.0,0.0,0.0
779,0.0,0.0,0.0
780,0.0,1.0,1.0
781,1.0,1.0,0.0
782,0.0,1.0,1.0
783,0.0,0.0,0.0
784,0.0,0.0,0.0
785,3.0,4.0,1.0
786,14.0,21.0,7.0
787,2.0,2.0,0.0
788,8.0,18.0,10.0
789,11.0,32.0,21.0
790,2.0,2.0,0.0
791,1.0,2.0,1.0
792,4.0,7.0,3.0
793,1.0,2.0,1.0
794,11.0,32.0,21.0
795,13.0,24.0,11.0
796,26.0,46.0,20.0
797,16.0,25.0,9.0
798,19.0,32.0,13.0
799,5.0,13.0,8.0
800,1.0,3.0,2.0
801,11.0,20.0,9.0
802,0.0,1.0,1.0
803,2.0,5.0,3.0
804,1.0,2.0,1.0
805,17.0,26.0,9.0
806,4.0,8.0,4.0
807,4.0,5.0,1.0
808,8.0,12.0,4.0
809,5.0,14.0,9.0
810,3.0,7.0,4.0
811,30.0,60.0,30.0
812,8.0,10.0,2.0
813,16.0,19.0,3.0
814,24.0,40.0,16.0
815,7.0,12.0,5.0
816,3.0,3.0,0.0
817,15.0,27.0,12.0
818,14.0,25.0,11.0
819,11.0,22.0,11.0
820,11.0,17.0,6.0
821,13.0,25.0,12.0
822,1.0,3.0,2.0
823,8.0,19.0,11.0
824,3.0,5.0,2.0
825,7.0,12.0,5.0
826,17.0,27.0,10.0
827,8.0,19.0,11.0
828,16.0,30.0,14.0
829,1.0,2.0,1.0
830,1.0,2.0,1.0
831,4.0,6.0,2.0
832,4.0,10.0,6.0
833,0.0,3.0,3.0
834,4.0,11.0,7.0
835,15.0,28.0,13.0
836,6.0,11.0,5.0
837,4.0,9.0,5.0
838,11.0,16.0,5.0
839,5.0,12.0,7.0
840,47.0,85.0,38.0
841,4.0,15.0,11.0
842,10.0,26.0,16.0
843,4.0,8.0,4.0
844,0.0,5.0,5.0
845,0.0,0.0,0.0
846,2.0,3.0,1.0
847,1.0,4.0,3.0
848,1.0,7.0,6.0
849,1.0,3.0,2.0
850,0.0,4.0,4.0
851,1.0,2.0,1.0
852,10.0,17.0,7.0
853,0.0,2.0,2.0
854,2.0,6.0,4.0
855,2.0,2.0,0.0
856,4.0,6.0,2.0
857,12.0,31.0,19.0
858,3.0,12.0,9.0
859,4.0,6.0,2.0
860,8.0,27.0,19.0
861,3.0,6.0,3.0
862,5.0,10.0,5.0
863,0.0,0.0,0.0
864,2.0,8.0,6.0
865,2.0,10.0,8.0
866,4.0,6.0,2.0
867,5.0,11.0,6.0
868,2.0,3.0,1.0
869,1.0,1.0,0.0
870,12.0,23.0,11.0
871,0.0,0.0,0.0
872,9.0,19.0,10.0
873,3.0,6.0,3.0
874,0.0,2.0,2.0
875,1.0,2.0,1.0
876,2.0,12.0,10.0
877,8.0,18.0,10.0
878,6.0,8.0,2.0
879,0.0,1.0,1.0
880,0.0,0.0,0.0
881,1.0,3.0,2.0
882,1.0,4.0,3.0
883,3.0,6.0,3.0
884,1.0,2.0,1.0
885,1.0,1.0,0.0
886,1.0,1.0,0.0
887,0.0,0.0,0.0
888,1.0,4.0,3.0
889,0.0,0.0,0.0
890,2.0,5.0,3.0
891,0.0,1.0,1.0
892,1.0,2.0,1.0
893,7.0,11.0,4.0
894,3.0,4.0,1.0
895,1.0,1.0,0.0
896,17.0,32.0,15.0
897,3.0,10.0,7.0
898,0.0,0.0,0.0
899,4.0,6.0,2.0
900,18.0,32.0,14.0
901,1.0,1.0,0.0
902,13.0,32.0,19.0
903,17.0,28.0,11.0
904,22.0,48.0,26.0
905,4.0,8.0,4.0
906,5.0,10.0,5.0
907,8.0,15.0,7.0
908,16.0,26.0,10.0
909,20.0,29.0,9.0
910,7.0,16.0,9.0
911,10.0,20.0,10.0
912,9.0,19.0,10.0
913,0.0,3.0,3.0
914,6.0,10.0,4.0
915,7.0,11.0,4.0
916,4.0,7.0,3.0
917,1.0,2.0,1.0
918,15.0,33.0,18.0
919,26.0,51.0,25.0
920,5.0,8.0,3.0
921,30.0,51.0,21.0
922,4.0,4.0,0.0
923,1.0,3.0,2.0
924,12.0,33.0,21.0
925,3.0,4.0,1.0
926,3.0,8.0,5.0
927,2.0,5.0,3.0
928,13.0,23.0,10.0
929,8.0,17.0,9.0
930,5.0,9.0,4.0
931,7.0,19.0,12.0
932,0.0,0.0,0.0
933,3.0,8.0,5.0
934,4.0,11.0,7.0
935,6.0,9.0,3.0
936,21.0,38.0,17.0
937,2.0,5.0,3.0
938,11.0,21.0,10.0
939,9.0,13.0,4.0
940,6.0,23.0,17.0
941,1.0,2.0,1.0
942,9.0,17.0,8.0
943,7.0,18.0,11.0
944,1.0,2.0,1.0
945,6.0,21.0,15.0
946,10.0,21.0,11.0
947,0.0,0.0,0.0
948,2.0,9.0,7.0
