ID,dribbleLost,dribbleTotal,dribbleWon
489,7.0,19.0,12.0
490,9.0,25.0,16.0
491,7.0,13.0,6.0
492,6.0,19.0,13.0
493,3.0,4.0,1.0
494,1.0,5.0,4.0
495,7.0,14.0,7.0
496,13.0,21.0,8.0
497,0.0,1.0,1.0
498,0.0,2.0,2.0
499,2.0,4.0,2.0
500,11.0,20.0,9.0
501,8.0,14.0,6.0
502,15.0,34.0,19.0
503,1.0,5.0,4.0
504,1.0,1.0,0.0
505,4.0,11.0,7.0
506,0.0,0.0,0.0
507,2.0,3.0,1.0
508,0.0,3.0,3.0
509,0.0,1.0,1.0
510,4.0,9.0,5.0
511,0.0,2.0,2.0
512,10.0,15.0,5.0
513,2.0,3.0,1.0
514,0.0,1.0,1.0
515,11.0,23.0,12.0
516,4.0,8.0,4.0
517,3.0,3.0,0.0
518,3.0,3.0,0.0
519,0.0,0.0,0.0
520,1.0,1.0,0.0
521,2.0,2.0,0.0
522,1.0,1.0,0.0
523,2.0,2.0,0.0
524,2.0,6.0,4.0
525,1.0,2.0,1.0
526,0.0,0.0,0.0
527,0.0,0.0,0.0
528,1.0,2.0,1.0
529,1.0,1.0,0.0
530,0.0,1.0,1.0
531,0.0,1.0,1.0
532,0.0,0.0,0.0
533,3.0,4.0,1.0
534,0.0,2.0,2.0
535,0.0,2.0,2.0
536,33.0,85.0,52.0
537,0.0,1.0,1.0
538,16.0,45.0,29.0
539,0.0,1.0,1.0
540,1.0,6.0,5.0
541,0.0,2.0,2.0
542,7.0,20.0,13.0
543,31.0,54.0,23.0
544,28.0,58.0,30.0
545,0.0,0.0,0.0
546,32.0,81.0,49.0
547,6.0,16.0,10.0
548,13.0,45.0,32.0
549,23.0,44.0,21.0
550,9.0,19.0,10.0
551,17.0,37.0,20.0
552,3.0,3.0,0.0
553,1.0,1.0,0.0
554,12.0,32.0,20.0
555,10.0,21.0,11.0
556,8.0,24.0,16.0
557,2.0,8.0,6.0
558,33.0,80.0,47.0
559,0.0,0.0,0.0
560,0.0,3.0,3.0
561,6.0,14.0,8.0
562,7.0,10.0,3.0
563,22.0,62.0,40.0
564,42.0,79.0,37.0
565,13.0,48.0,35.0
566,3.0,6.0,3.0
567,2.0,2.0,0.0
568,11.0,33.0,22.0
569,8.0,14.0,6.0
570,12.0,23.0,11.0
571,12.0,32.0,20.0
572,15.0,32.0,17.0
573,2.0,3.0,1.0
574,26.0,54.0,28.0
575,11.0,33.0,22.0
576,4.0,9.0,5.0
577,32.0,63.0,31.0
578,8.0,22.0,14.0
579,1.0,3.0,2.0
580,2.0,6.0,4.0
581,11.0,25.0,14.0
582,4.0,17.0,13.0
583,13.0,29.0,16.0
584,6.0,14.0,8.0
585,8.0,14.0,6.0
586,8.0,12.0,4.0
587,21.0,75.0,54.0
588,3.0,9.0,6.0
589,8.0,18.0,10.0
590,22.0,62.0,40.0
591,5.0,9.0,4.0
592,3.0,13.0,10.0
593,23.0,46.0,23.0
594,2.0,7.0,5.0
595,4.0,8.0,4.0
596,33.0,63.0,30.0
597,6.0,12.0,6.0
598,1.0,3.0,2.0
599,2.0,4.0,2.0
600,3.0,5.0,2.0
601,10.0,25.0,15.0
602,1.0,5.0,4.0
603,1.0,3.0,2.0
604,0.0,0.0,0.0
605,13.0,28.0,15.0
606,20.0,38.0,18.0
607,3.0,8.0,5.0
608,3.0,5.0,2.0
609,22.0,32.0,10.0
610,2.0,4.0,2.0
611,0.0,1.0,1.0
612,9.0,17.0,8.0
613,4.0,16.0,12.0
614,2.0,6.0,4.0
615,0.0,2.0,2.0
616,1.0,6.0,5.0
617,0.0,1.0,1.0
618,4.0,8.0,4.0
619,0.0,0.0,0.0
620,9.0,20.0,11.0
621,3.0,6.0,3.0
622,0.0,0.0,0.0
623,0.0,0.0,0.0
624,5.0,5.0,0.0
625,0.0,2.0,2.0
626,2.0,4.0,2.0
627,8.0,13.0,5.0
628,8.0,12.0,4.0
629,3.0,10.0,7.0
630,3.0,12.0,9.0
631,2.0,4.0,2.0
632,3.0,3.0,0.0
633,0.0,1.0,1.0
634,0.0,1.0,1.0
635,2.0,3.0,1.0
636,1.0,5.0,4.0
637,1.0,2.0,1.0
638,2.0,3.0,1.0
639,1.0,1.0,0.0
640,0.0,2.0,2.0
641,0.0,0.0,0.0
642,4.0,7.0,3.0
643,0.0,0.0,0.0
644,1.0,2.0,1.0
645,1.0,2.0,1.0
646,1.0,2.0,1.0
647,0.0,1.0,1.0
648,1.0,2.0,1.0
649,0.0,1.0,1.0
650,1.0,1.0,0.0
651,1.0,1.0,0.0
652,0.0,0.0,0.0
653,0.0,0.0,0.0
654,1.0,1.0,0.0
655,15.0,50.0,35.0
656,20.0,55.0,35.0
657,10.0,27.0,17.0
658,0.0,0.0,0.0
659,1.0,3.0,2.0
660,36.0,77.0,41.0
661,49.0,100.0,51.0
662,14.0,31.0,17.0
663,33.0,50.0,17.0
664,3.0,7.0,4.0
665,1.0,4.0,3.0
666,0.0,8.0,8.0
667,7.0,27.0,20.0
668,32.0,83.0,51.0
669,3.0,7.0,4.0
670,13.0,21.0,8.0
671,0.0,1.0,1.0
672,1.0,1.0,0.0
673,2.0,4.0,2.0
674,1.0,4.0,3.0
675,20.0,69.0,49.0
676,23.0,47.0,24.0
677,7.0,13.0,6.0
678,1.0,2.0,1.0
679,1.0,4.0,3.0
