ID,turnover,dispossessed
735,9.0,2.0
736,54.0,21.0
737,4.0,2.0
738,3.0,3.0
739,5.0,1.0
740,1.0,2.0
741,30.0,16.0
742,10.0,8.0
743,4.0,6.0
744,0.0,1.0
745,1.0,1.0
746,2.0,3.0
747,8.0,0.0
748,4.0,5.0
749,35.0,12.0
750,25.0,10.0
751,4.0,2.0
752,0.0,1.0
753,2.0,1.0
754,38.0,10.0
755,13.0,3.0
756,2.0,1.0
757,4.0,1.0
758,2.0,5.0
759,3.0,2.0
760,1.0,1.0
761,0.0,1.0
762,17.0,2.0
763,14.0,4.0
764,3.0,0.0
765,1.0,1.0
766,4.0,1.0
767,4.0,2.0
768,3.0,1.0
769,11.0,4.0
770,2.0,5.0
771,7.0,1.0
772,3.0,0.0
773,9.0,8.0
774,6.0,2.0
775,4.0,0.0
776,9.0,3.0
777,8.0,2.0
778,3.0,0.0
779,0.0,2.0
780,0.0,0.0
781,0.0,1.0
782,2.0,3.0
783,1.0,2.0
784,6.0,0.0
785,3.0,1.0
786,39.0,48.0
787,2.0,1.0
788,58.0,39.0
789,57.0,34.0
790,5.0,0.0
791,16.0,9.0
792,4.0,6.0
793,0.0,1.0
794,53.0,26.0
795,48.0,20.0
796,81.0,35.0
797,14.0,9.0
798,41.0,22.0
799,17.0,7.0
800,9.0,3.0
801,61.0,26.0
802,3.0,1.0
803,3.0,4.0
804,3.0,1.0
805,58.0,23.0
806,15.0,17.0
807,10.0,8.0
808,51.0,27.0
809,20.0,14.0
810,8.0,6.0
811,66.0,30.0
812,10.0,7.0
813,25.0,8.0
814,139.0,64.0
815,26.0,9.0
816,12.0,7.0
817,20.0,8.0
818,72.0,16.0
819,55.0,21.0
820,58.0,18.0
821,40.0,8.0
822,2.0,0.0
823,51.0,25.0
824,18.0,9.0
825,33.0,13.0
826,34.0,10.0
827,13.0,13.0
828,45.0,28.0
829,2.0,3.0
830,12.0,5.0
831,4.0,4.0
832,36.0,33.0
833,11.0,4.0
834,19.0,6.0
835,53.0,26.0
836,52.0,19.0
837,23.0,10.0
838,35.0,12.0
839,28.0,17.0
840,158.0,77.0
841,21.0,17.0
842,55.0,25.0
843,25.0,8.0
844,37.0,13.0
845,1.0,1.0
846,23.0,5.0
847,13.0,1.0
848,6.0,9.0
849,6.0,0.0
850,0.0,1.0
851,5.0,3.0
852,43.0,28.0
853,2.0,0.0
854,29.0,24.0
855,3.0,3.0
856,19.0,13.0
857,42.0,8.0
858,29.0,11.0
859,15.0,14.0
860,54.0,38.0
861,1.0,1.0
862,22.0,7.0
863,3.0,7.0
864,38.0,24.0
865,24.0,6.0
866,1.0,0.0
867,15.0,6.0
868,1.0,2.0
869,1.0,3.0
870,13.0,10.0
871,2.0,0.0
872,49.0,18.0
873,2.0,1.0
874,1.0,0.0
875,6.0,4.0
876,37.0,10.0
877,23.0,17.0
878,28.0,8.0
879,2.0,1.0
880,0.0,0.0
881,3.0,1.0
882,4.0,2.0
883,10.0,6.0
884,11.0,1.0
885,2.0,0.0
886,2.0,2.0
887,0.0,0.0
888,2.0,1.0
889,1.0,2.0
890,8.0,5.0
891,5.0,0.0
892,0.0,3.0
893,23.0,21.0
894,7.0,1.0
895,0.0,0.0
896,19.0,6.0
897,28.0,22.0
898,3.0,4.0
899,3.0,0.0
900,63.0,41.0
901,2.0,1.0
902,48.0,23.0
903,48.0,28.0
904,83.0,41.0
905,3.0,3.0
906,5.0,8.0
907,12.0,15.0
908,65.0,43.0
909,42.0,16.0
910,41.0,21.0
911,25.0,10.0
912,22.0,11.0
913,1.0,3.0
914,32.0,7.0
915,24.0,12.0
916,9.0,8.0
917,2.0,0.0
918,72.0,46.0
919,66.0,39.0
920,22.0,9.0
921,87.0,33.0
922,2.0,1.0
923,3.0,3.0
924,52.0,29.0
925,3.0,4.0
926,14.0,9.0
927,4.0,5.0
928,49.0,21.0
929,35.0,14.0
930,12.0,1.0
931,35.0,11.0
932,8.0,2.0
933,11.0,6.0
934,35.0,21.0
935,32.0,17.0
936,107.0,47.0
937,14.0,2.0
938,48.0,45.0
939,39.0,14.0
940,36.0,22.0
941,7.0,0.0
942,61.0,34.0
943,49.0,25.0
944,4.0,2.0
945,28.0,16.0
946,29.0,36.0
947,3.0,1.0
948,18.0,17.0
949,37.0,15.0
950,63.0,25.0
951,3.0,3.0
952,11.0,2.0
953,4.0,7.0
954,6.0,1.0
955,25.0,16.0
956,33.0,22.0
957,23.0,21.0
958,7.0,11.0
959,19.0,7.0
960,2.0,2.0
961,50.0,18.0
962,66.0,22.0
963,35.0,15.0
964,83.0,43.0
965,39.0,23.0
966,37.0,21.0
967,9.0,8.0
968,5.0,2.0
969,2.0,0.0
970,41.0,20.0
971,47.0,21.0
972,2.0,2.0
973,30.0,16.0
974,1.0,2.0
975,29.0,8.0
976,10.0,6.0
977,2.0,2.0
978,2.0,1.0
979,16.0,10.0
980,2.0,2.0
981,5.0,2.0
982,8.0,3.0
983,6.0,7.0
984,1.0,2.0
985,1.0,0.0
986,10.0,10.0
987,14.0,8.0
988,4.0,0.0
989,4.0,1.0
990,9.0,2.0
991,18.0,10.0
992,27.0,10.0
993,17.0,6.0
994,6.0,0.0
995,1.0,0.0
996,4.0,2.0
997,5.0,5.0
998,0.0,1.0
999,4.0,0.0
1000,1.0,1.0
1001,4.0,1.0
1002,36.0,16.0
1003,83.0,55.0
1004,2.0,4.0
1005,54.0,16.0
1006,58.0,21.0
1007,11.0,7.0
1008,3.0,2.0
1009,2.0,0.0
1010,15.0,3.0
1011,6.0,2.0
1012,29.0,10.0
1013,0.0,1.0
1014,43.0,13.0
1015,63.0,33.0
1016,1.0,1.0
1017,20.0,16.0
1018,5.0,1.0
1019,24.0,11.0
1020,67.0,22.0
1021,15.0,3.0
1022,28.0,15.0
1023,35.0,20.0
1024,76.0,47.0
1025,0.0,0.0
1026,2.0,0.0
1027,32.0,6.0
1028,37.0,16.0
1029,5.0,2.0
1030,15.0,11.0
1031,43.0,16.0
1032,12.0,7.0
1033,81.0,39.0
1034,80.0,40.0
1035,123.0,44.0
1036,84.0,29.0
1037,138.0,41.0
1038,3.0,0.0
1039,12.0,5.0
1040,32.0,24.0
1041,3.0,1.0
1042,28.0,28.0
1043,27.0,11.0
1044,9.0,9.0
1045,15.0,6.0
1046,24.0,24.0
1047,9.0,2.0
1048,35.0,18.0
1049,49.0,18.0
1050,16.0,5.0
1051,6.0,1.0
1052,19.0,5.0
1053,67.0,31.0
1054,3.0,2.0
1055,15.0,5.0
1056,22.0,9.0
1057,38.0,14.0
1058,12.0,7.0
1059,15.0,7.0
1060,1.0,0.0
1061,20.0,3.0
1062,1.0,0.0
1063,45.0,26.0
1064,1.0,0.0
1065,21.0,9.0
1066,18.0,4.0
1067,14.0,14.0
1068,3.0,3.0
1069,35.0,16.0
1070,17.0,4.0
1071,2.0,2.0
1072,37.0,23.0
1073,5.0,3.0
1074,76.0,40.0
1075,13.0,6.0
1076,7.0,2.0
1077,2.0,0.0
1078,6.0,8.0
1079,13.0,5.0
1080,7.0,1.0
1081,9.0,2.0
1082,30.0,13.0
1083,8.0,2.0
1084,6.0,0.0
1085,24.0,10.0
1086,1.0,3.0
1087,8.0,3.0
1088,13.0,4.0
1089,12.0,2.0
1090,3.0,1.0
1091,3.0,1.0
1092,7.0,6.0
1093,13.0,12.0
1094,4.0,2.0
1095,1.0,0.0
1096,6.0,4.0
1097,4.0,5.0
1098,1.0,2.0
1099,3.0,0.0
1100,2.0,0.0
1101,0.0,1.0
1102,2.0,0.0
1103,1.0,1.0
1104,3.0,2.0
1105,70.0,44.0
1106,1.0,0.0
1107,18.0,6.0
1108,7.0,5.0
1109,51.0,11.0
1110,4.0,5.0
1111,87.0,48.0
1112,4.0,10.0
1113,7.0,1.0
1114,16.0,8.0
1115,72.0,27.0
1116,11.0,15.0
1117,12.0,5.0
1118,32.0,12.0
1119,2.0,2.0
1120,4.0,4.0
1121,7.0,11.0
1122,22.0,8.0
1123,78.0,39.0
1124,2.0,0.0
1125,31.0,17.0
1126,3.0,2.0
1127,26.0,8.0
1128,29.0,23.0
1129,68.0,25.0
1130,27.0,17.0
1131,5.0,1.0
1132,51.0,18.0
1133,52.0,38.0
1134,50.0,15.0
1135,40.0,15.0
1136,0.0,0.0
1137,36.0,12.0
1138,0.0,2.0
1139,9.0,3.0
1140,0.0,0.0
1141,50.0,27.0
1142,44.0,15.0
1143,44.0,19.0
1144,11.0,2.0
1145,42.0,25.0
1146,16.0,9.0
1147,58.0,29.0
1148,78.0,27.0
1149,27.0,12.0
1150,27.0,1.0
1151,17.0,12.0
1152,11.0,12.0
1153,42.0,9.0
1154,17.0,11.0
1155,8.0,4.0
1156,27.0,14.0
1157,11.0,9.0
1158,31.0,19.0
1159,7.0,2.0
1160,21.0,10.0
1161,10.0,4.0
1162,20.0,7.0
1163,5.0,11.0
1164,68.0,27.0
1165,25.0,6.0
1166,47.0,14.0
1167,24.0,4.0
1168,12.0,8.0
1169,8.0,0.0
1170,7.0,7.0
1171,22.0,12.0
1172,3.0,1.0
1173,4.0,2.0
1174,13.0,7.0
1175,6.0,1.0
1176,1.0,0.0
1177,3.0,0.0
1178,11.0,3.0
1179,1.0,1.0
1180,39.0,8.0
1181,34.0,14.0
1182,2.0,2.0
1183,14.0,2.0
1184,7.0,4.0
1185,36.0,17.0
1186,0.0,0.0
1187,19.0,11.0
1188,21.0,8.0
1189,2.0,3.0
1190,4.0,0.0
1191,10.0,9.0
1192,3.0,1.0
1193,3.0,2.0
1194,29.0,11.0
1195,4.0,0.0
1196,27.0,4.0
1197,2.0,1.0
1198,0.0,0.0
1199,3.0,3.0
1200,9.0,7.0
1201,9.0,2.0
1202,8.0,6.0
1203,1.0,1.0
1204,12.0,4.0
1205,4.0,1.0
1206,3.0,2.0
1207,3.0,2.0
1208,3.0,0.0
1209,2.0,1.0
1210,2.0,3.0
1211,6.0,0.0
1212,2.0,1.0
1213,1.0,3.0
1214,81.0,54.0
1215,4.0,7.0
1216,3.0,3.0
1217,14.0,10.0
1218,6.0,3.0
1219,13.0,10.0
1220,2.0,1.0
1221,68.0,29.0
1222,4.0,2.0
1223,10.0,9.0
1224,0.0,0.0
1225,30.0,24.0
1226,3.0,1.0
1227,1.0,3.0
1228,25.0,10.0
1229,47.0,20.0
1230,4.0,1.0
1231,37.0,17.0
1232,15.0,9.0
1233,49.0,11.0
1234,3.0,2.0
1235,20.0,4.0
1236,56.0,30.0
1237,6.0,3.0
1238,3.0,3.0
1239,12.0,4.0
1240,27.0,12.0
1241,3.0,3.0
1242,54.0,27.0
1243,20.0,14.0
1244,29.0,13.0
1245,56.0,41.0
1246,82.0,41.0
1247,94.0,64.0
1248,24.0,11.0
1249,89.0,42.0
1250,58.0,29.0
1251,37.0,20.0
1252,44.0,28.0
1253,50.0,28.0
1254,17.0,14.0
1255,38.0,27.0
1256,10.0,8.0
1257,1.0,0.0
1258,33.0,17.0
1259,12.0,6.0
1260,3.0,0.0
1261,8.0,9.0
1262,7.0,4.0
1263,27.0,9.0
1264,7.0,3.0
1265,13.0,5.0
1266,38.0,18.0
1267,41.0,22.0
1268,24.0,8.0
1269,32.0,18.0
1270,31.0,10.0
1271,5.0,2.0
1272,7.0,0.0
1273,7.0,1.0
1274,28.0,14.0
1275,3.0,0.0
1276,23.0,19.0
1277,35.0,9.0
1278,5.0,6.0
1279,46.0,30.0
1280,39.0,33.0
1281,6.0,5.0
1282,37.0,12.0
1283,32.0,13.0
1284,38.0,20.0
1285,14.0,12.0
1286,20.0,10.0
1287,7.0,6.0
1288,30.0,26.0
1289,23.0,8.0
1290,1.0,1.0
1291,7.0,0.0
1292,40.0,17.0
1293,7.0,0.0
1294,9.0,2.0
1295,15.0,13.0
1296,19.0,16.0
1297,6.0,2.0
1298,26.0,10.0
1299,8.0,3.0
1300,10.0,3.0
1301,1.0,0.0
1302,0.0,1.0
1303,0.0,4.0
1304,5.0,1.0
1305,1.0,0.0
1306,11.0,9.0
1307,5.0,0.0
1308,2.0,4.0
1309,3.0,2.0
1310,2.0,2.0
1311,1.0,2.0
1312,3.0,2.0
1313,4.0,2.0
1314,5.0,1.0
1315,1.0,0.0
1316,2.0,2.0
1317,1.0,4.0
1318,4.0,2.0
1319,8.0,5.0
1320,2.0,0.0
1321,0.0,0.0
1322,1.0,2.0
1323,1.0,2.0
1324,66.0,32.0
1325,17.0,23.0
1326,10.0,2.0
1327,2.0,1.0
1328,1.0,0.0
1329,2.0,1.0
1330,3.0,2.0
1331,23.0,12.0
1332,22.0,5.0
1333,88.0,40.0
1334,18.0,19.0
1335,15.0,11.0
1336,10.0,5.0
1337,7.0,7.0
1338,75.0,57.0
1339,56.0,41.0
1340,6.0,0.0
1341,39.0,15.0
1342,0.0,0.0
1343,65.0,35.0
1344,2.0,1.0
1345,82.0,20.0
1346,52.0,18.0
1347,59.0,20.0
1348,13.0,15.0
1349,37.0,23.0
1350,81.0,20.0
1351,60.0,40.0
1352,10.0,9.0
1353,6.0,3.0
1354,2.0,0.0
1355,19.0,10.0
1356,90.0,54.0
1357,40.0,19.0
