ID,foulGiven,foulCommitted
819,70.0,53.0
820,35.0,17.0
821,32.0,17.0
822,6.0,3.0
823,30.0,28.0
824,11.0,4.0
825,16.0,17.0
826,12.0,18.0
827,24.0,6.0
828,27.0,29.0
829,4.0,3.0
830,5.0,1.0
831,5.0,2.0
832,19.0,11.0
833,9.0,10.0
834,12.0,4.0
835,35.0,38.0
836,24.0,11.0
837,24.0,14.0
838,41.0,16.0
839,22.0,21.0
840,32.0,87.0
841,6.0,5.0
842,20.0,40.0
843,8.0,6.0
844,14.0,15.0
845,1.0,0.0
846,8.0,12.0
847,4.0,2.0
848,1.0,4.0
849,3.0,3.0
850,0.0,1.0
851,4.0,3.0
852,21.0,38.0
853,1.0,1.0
854,25.0,15.0
855,2.0,0.0
856,11.0,9.0
857,13.0,26.0
858,17.0,11.0
859,8.0,14.0
860,31.0,35.0
861,0.0,2.0
862,10.0,19.0
863,5.0,5.0
864,25.0,19.0
865,9.0,19.0
866,6.0,3.0
867,6.0,7.0
868,2.0,1.0
869,0.0,2.0
870,11.0,10.0
871,1.0,1.0
872,33.0,61.0
873,0.0,1.0
874,3.0,1.0
875,1.0,3.0
876,11.0,19.0
877,14.0,8.0
878,11.0,8.0
879,2.0,2.0
880,1.0,0.0
881,2.0,1.0
882,0.0,2.0
883,3.0,10.0
884,2.0,6.0
885,0.0,1.0
886,2.0,2.0
887,0.0,0.0
888,2.0,2.0
889,3.0,0.0
890,4.0,3.0
891,2.0,1.0
892,2.0,9.0
893,22.0,8.0
894,2.0,7.0
895,0.0,0.0
896,21.0,18.0
897,21.0,14.0
898,1.0,2.0
899,4.0,4.0
900,15.0,20.0
901,3.0,1.0
902,30.0,18.0
903,43.0,43.0
904,55.0,50.0
905,4.0,3.0
906,11.0,10.0
907,8.0,6.0
908,52.0,49.0
909,33.0,26.0
910,21.0,21.0
911,9.0,2.0
912,17.0,22.0
913,3.0,0.0
914,8.0,25.0
915,16.0,14.0
916,5.0,10.0
917,0.0,3.0
918,46.0,33.0
919,58.0,24.0
920,5.0,5.0
921,59.0,65.0
922,0.0,0.0
923,6.0,0.0
924,44.0,41.0
925,8.0,4.0
926,14.0,11.0
927,4.0,3.0
928,35.0,19.0
929,15.0,15.0
930,9.0,6.0
931,16.0,18.0
932,0.0,0.0
933,8.0,4.0
934,28.0,20.0
935,23.0,19.0
936,53.0,85.0
937,4.0,5.0
938,19.0,24.0
939,53.0,45.0
940,21.0,14.0
941,5.0,1.0
942,25.0,42.0
943,40.0,30.0
944,2.0,5.0
945,20.0,23.0
946,23.0,18.0
947,0.0,1.0
948,6.0,11.0
949,13.0,25.0
950,31.0,20.0
951,0.0,1.0
952,9.0,5.0
953,0.0,4.0
954,2.0,3.0
955,17.0,5.0
956,19.0,21.0
957,4.0,9.0
958,1.0,7.0
959,17.0,28.0
960,3.0,3.0
961,42.0,40.0
962,28.0,55.0
963,11.0,11.0
964,60.0,47.0
965,22.0,54.0
966,8.0,14.0
967,5.0,2.0
968,1.0,4.0
969,1.0,1.0
970,6.0,15.0
971,18.0,31.0
972,0.0,1.0
973,31.0,13.0
974,1.0,0.0
975,11.0,5.0
976,7.0,17.0
977,0.0,1.0
978,0.0,0.0
979,11.0,10.0
980,4.0,4.0
981,5.0,3.0
982,7.0,6.0
983,4.0,3.0
984,1.0,1.0
985,3.0,1.0
986,5.0,8.0
987,9.0,6.0
988,0.0,2.0
989,1.0,3.0
990,6.0,7.0
991,7.0,15.0
992,11.0,18.0
993,5.0,6.0
994,6.0,0.0
995,2.0,1.0
996,2.0,3.0
997,2.0,3.0
998,0.0,0.0
999,1.0,1.0
1000,0.0,2.0
1001,0.0,1.0
1002,21.0,10.0
1003,37.0,22.0
1004,0.0,0.0
1005,14.0,17.0
1006,21.0,13.0
1007,13.0,9.0
1008,0.0,1.0
1009,0.0,4.0
1010,7.0,4.0
1011,3.0,6.0
1012,11.0,13.0
1013,2.0,1.0
1014,16.0,11.0
1015,52.0,30.0
1016,0.0,2.0
1017,14.0,9.0
1018,0.0,2.0
1019,10.0,10.0
1020,31.0,38.0
1021,3.0,4.0
1022,14.0,11.0
1023,16.0,9.0
